ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
6273,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,27480,28043,*,*,1000,997,1020,1100,0
6275,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,3357,3426,*,*,76,67,69,1376,0
6277,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,450,1400,*,*,483,0,700,0,0
6281,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,669,*,*,1012,0,669,0,0
6284,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,0
6285,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,67560,86315,*,*,10000,10000,20000,1718,0
6291,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,28850,29022,*,*,1047,1042,1036,1039,0
6293,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,16261,16969,*,*,600,900,1000,1324,1
6295,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,10833,21169,*,*,10018,12387,21865,13898,0
6298,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,13547,16008,*,*,3163,5010,5000,5000,0
6299,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,22687,15621,*,*,13955,22687,15621,2540,0
6300,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,28989,29059,*,*,1000,30848,975,863,0
6303,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,19378,12759,*,*,13981,9378,12759,16980,0
6304,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,7035,9175,*,*,2000,2000,4000,800,0
6305,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,1763,591,*,*,3626,0,907,1208,1
6307,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,15802,15730,*,*,38944,15881,15809,30594,0
6309,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,42123,19852,*,*,3000,721,1200,2000,0
6311,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,100,*,*,0,0,100,300,0
6317,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,1330,14470,*,*,1855,1337,14542,2955,0
6322,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,17515,0,*,*,5255,4566,0,3648,0
6323,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,14295,10930,*,*,3658,0,10930,11677,0
6324,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,47665,43756,*,*,1613,1594,1654,1222,0
6327,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,10117,0,*,*,3465,10117,0,665,0
6330,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,47437,42576,*,*,1501,1619,1514,1553,0
6337,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,12215,6660,*,*,5,244,1038,41500,0
6340,*,*,*,3,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,16338,2076,*,*,2240,16000,2076,833,0
6341,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,58722,59770,*,*,2076,2279,2175,2300,0
6347,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,780,390,*,*,390,780,0,0,0
6357,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,14685,14016,*,*,2000,1000,2000,2000,0
6360,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,1855,540,*,*,66,37,158,390,0
6370,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,0
6372,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,1
6376,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,79066,75356,*,*,3000,3500,3100,5700,0
6378,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,10404,8578,*,*,1020,10404,51000,0,0
6384,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,70537,56775,*,*,2100,2200,2510,2000,0
6385,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,19606,19925,*,*,1666,5000,703,775,0
6390,*,*,*,0,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,0
6391,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,51873,64675,*,*,40009,5000,20000,62339,0
6393,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,26249,6633,*,*,6849,26249,2200,3000,1
6394,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,150,1000,*,*,0,150,1000,0,0
6395,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,11329,4749,*,*,6000,5000,2000,2092,0
6397,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,10806,11673,*,*,2000,3000,3000,0,0
6398,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,21524,23005,*,*,1200,2000,2000,2000,0
6399,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,1780,2581,*,*,0,1780,2581,2140,0
6401,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,29309,29739,*,*,1184,1206,1411,904,0
6402,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,43530,44804,*,*,2000,2500,2000,2000,0
6403,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,17446,17825,*,*,611,632,668,591,1
6405,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,46252,47207,*,*,1267,1500,1500,1500,0
6407,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,3603,926,*,*,3633,3603,926,7199,1
6409,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,19533,19936,*,*,684,709,728,709,0
6414,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,27133,10721,*,*,1024,1215,435,186,1
6418,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,0
6423,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,25109,23320,*,*,800,5000,5000,2000,0
6424,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,-53,10653,*,*,17012,0,10706,9659,0
6425,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,59038,58738,*,*,2502,2250,2350,2200,0
6426,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,5133,5749,*,*,3713,5133,5749,6762,0
6428,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,9657,9279,*,*,1000,504,1000,2000,0
6430,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,9780,0,*,*,200,196,0,0,1
6431,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,28094,28263,*,*,390,28094,1011,965,0
6434,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,6360,11220,*,*,0,6360,11220,0,0
6437,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,28274,29005,*,*,1000,1500,1500,2000,0
6438,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,2558,2324,*,*,10892,2558,2332,4099,0
6440,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,162,0,*,*,0,162,0,0,0
6442,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,66021,67267,*,*,2400,2600,2614,2376,0
6443,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,8665,0
6449,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,14096,7045,*,*,2000,389,1000,140,0
6450,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,39415,39920,*,*,1924,1308,1480,1171,1
6451,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,28361,28449,*,*,3548,2500,2000,2000,0
6452,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,6451,3592,*,*,0,0,3592,3911,0
6458,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,0
6464,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,12297,12752,*,*,13780,12300,12752,6000,0
6470,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,-5,-5,*,*,606,0,0,0,0
6474,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,31202,31688,*,*,2379,2202,2688,2110,0
6478,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,117195,121246,*,*,10000,10001,6000,38000,0
6480,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,390,390,*,*,390,390,390,390,0
6488,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,1002,0,0,0,1
6489,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,-131,-131,*,*,0,0,0,0,0
6491,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,9433,7487,*,*,1096,572,645,0,0
6495,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,1823,227,*,*,0,1900,230,0,0
6496,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,4000,0,0,0,0
6499,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,2381,2381,*,*,1581,800,0,0,0
6503,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,0
6505,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,11132,9633,*,*,9473,11140,9636,23635,0
6508,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,814,2294,*,*,4135,0,2294,7368,0
6509,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,5841,2227,*,*,28,2033,3130,94593,0
6511,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,7387,3300,*,*,8,111,3509,0,0
6517,*,*,*,3,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,660,660,*,*,1660,0,0,0,0
6519,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,19025,35744,*,*,2400,3800,739,2000,1
6520,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,0
6522,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,28289,28013,*,*,1348,1012,1016,1007,1
6523,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,190,66,*,*,190,0,66,151,0
6524,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,99677,51738,*,*,1763,1843,4654,2297,0
6525,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,26350,27409,*,*,942,959,1500,946,0
6529,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,43802,42761,*,*,1502,1737,1500,5050,1
6530,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,18302,18337,*,*,1000,663,654,651,0
6533,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,646,*,*,632,0,646,0,0
6534,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,240,930,*,*,3274,630,1080,0,0
6535,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,61032,23711,*,*,3000,1000,6000,8753,0
6536,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,3260,0,*,*,2011,503,0,0,0
6537,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,17789,18003,*,*,769,792,659,631,0
6538,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,28310,14482,*,*,51571,0,14482,12874,0
6539,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,609,362,*,*,0,4000,3000,9000,0
6545,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,51739,55079,*,*,2000,2100,4400,2934,0
6548,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,2013,4724,*,*,2618,2013,4724,0,0
6550,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,9565,12065,*,*,1000,1000,2500,1000,0
6552,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,42816,8938,*,*,10000,10000,8938,2000,1
6553,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,8520,9869,*,*,2000,2000,1500,2000,1
6555,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,225,35173,*,*,0,225,24815,10250,0
6559,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,2682,0,*,*,3180,2682,0,5593,0
6560,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,22872,22592,*,*,3000,1500,1500,2000,1
6564,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,46197,48444,*,*,10000,1662,3000,1350,0
6566,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,93692,96100,*,*,8000,5000,4000,5500,0
6568,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,6696,5724,*,*,3696,3000,5724,2271,0
6572,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,28576,12135,*,*,700,700,500,1000,0
6573,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,31723,32505,*,*,1300,1152,1310,1197,0
6574,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,682,0,*,*,0,682,0,0,0
6575,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,1315,0,*,*,4125,1315,0,0,0
6577,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,3069,*,*,462,0,3069,280,0
6581,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,19833,19376,*,*,2000,1000,900,1000,0
6585,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,10854,7537,*,*,13100,10854,7537,3710,0
6590,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,4160,883,*,*,3160,1000,883,28000,0
6598,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,77504,90032,*,*,3001,5004,15000,5039,0
6599,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,0,0,*,*,0,0,0,0,0
6600,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,46641,47569,*,*,10000,2000,1704,1920,0
6603,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,22282,20537,*,*,773,787,757,615,0
6604,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,4280,0,*,*,4280,0,0,0,0
6611,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,21810,13629,*,*,5000,1000,4000,6587,0
6612,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,41458,42251,*,*,1591,2000,1632,10000,0
6613,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},[-5558;100000[,*,*,*,291,291,*,*,291,291,291,291,0
